State,Group,Total Population,Total Citizen Population,Percent registered (Citizen 18+),DUMMY_CI_CITIZEN,Total Registered,Percent registered (Total 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Year
US,.Total,"225,499","206,072",71,71,"146,311",64.9,0.3,"131,144",58.2,0.3,2008
US,.Male,"108,974","98,818",69.1,69.1,"68,242",62.6,0.4,"60,729",55.7,0.4,2008
US,.Female,"116,525","107,255",72.8,72.8,"78,069",67,0.4,"70,415",60.4,0.4,2008
US,.White alone,"183,169","169,438",72,72,"122,020",66.6,0.3,"109,100",59.6,0.3,2008
US,..White non-Hispanic alone,"154,472","151,321",73.5,73.5,"111,215",72,0.3,"100,042",64.8,0.3,2008
US,.Black alone,"26,528","24,930",69.7,69.7,"17,375",65.5,1,"16,133",60.8,1,2008
US,.Asian alone,"10,455","7,059",55.3,55.3,"3,901",37.3,1.7,"3,357",32.1,1.6,2008
US,.Hispanic (of any race),"30,852","19,537",59.4,59.4,"11,608",37.6,1.2,"9,745",31.6,1.2,2008
US,.White alone or in combination,"185,773","171,798",72,72,"123,628",66.5,0.3,"110,500",59.5,0.3,2008
US,.Black alone or in combination ,"27,483","25,768",69.7,69.7,"17,960",65.3,1,"16,674",60.7,1,2008
US,.Asian alone or in combination,"11,009","7,562",55.9,55.9,"4,225",38.4,1.7,"3,627",32.9,1.6,2008
Alabama,.Total,"3,497","3,404",71.6,71.6,"2,438",69.7,2.3,"2,126",60.8,2.4,2008
Alabama,.Male,"1,654","1,593",68.5,68.5,"1,092",66,3.4,927,56.1,3.6,2008
Alabama,.Female,"1,843","1,811",74.3,74.3,"1,346",73,3,"1,199",65,3.3,2008
Alabama,.White alone,"2,541","2,473",72.4,72.4,"1,791",70.5,2.7,"1,543",60.7,2.9,2008
Alabama,..White non-Hispanic alone,"2,474","2,470",72.5,72.5,"1,791",72.4,2.7,"1,543",62.4,2.9,2008
Alabama,.Black alone,875,875,69.9,69.9,611,69.9,5.5,547,62.5,5.8,2008
Alabama,.Asian alone,32,8,(B),(B),-,(B),(B),-,(B),(B),2008
Alabama,.Hispanic (of any race),71,7,(B),(B),4,(B),(B),4,(B),(B),2008
Alabama,.White alone or in combination,"2,579","2,511",72.6,72.6,"1,824",70.7,2.6,"1,576",61.1,2.8,2008
Alabama,.Black alone or in combination ,892,892,70.1,70.1,626,70.1,5.5,561,62.9,5.8,2008
Alabama,.Asian alone or in combination,32,8,(B),(B),-,(B),(B),-,(B),(B),2008
Alaska,.Total,488,468,73.7,73.7,345,70.8,2.4,304,62.4,2.6,2008
Alaska,.Male,246,241,71.1,71.1,171,69.6,3.5,152,61.8,3.7,2008
Alaska,.Female,242,228,76.5,76.5,174,72,3.4,152,62.9,3.7,2008
Alaska,.White alone,364,355,78.4,78.4,278,76.4,2.6,251,69,2.9,2008
Alaska,..White non-Hispanic alone,351,344,78.7,78.7,271,77.1,2.7,245,69.8,2.9,2008
Alaska,.Black alone,17,15,(B),(B),10,(B),(B),7,(B),(B),2008
Alaska,.Asian alone,23,17,(B),(B),9,(B),(B),7,(B),(B),2008
Alaska,.Hispanic (of any race),15,13,(B),(B),9,(B),(B),8,(B),(B),2008
Alaska,.White alone or in combination,390,380,77.3,77.3,294,75.5,2.6,266,68.3,2.8,2008
Alaska,.Black alone or in combination ,20,18,(B),(B),10,(B),(B),8,(B),(B),2008
Alaska,.Asian alone or in combination,25,19,(B),(B),11,(B),(B),9,(B),(B),2008
Arizona,.Total,"4,688","4,169",68.9,68.9,"2,874",61.3,2.1,"2,497",53.3,2.2,2008
Arizona,.Male,"2,326","2,067",66.9,66.9,"1,382",59.4,3.1,"1,191",51.2,3.1,2008
Arizona,.Female,"2,362","2,102",71,71,"1,492",63.2,3,"1,306",55.3,3.1,2008
Arizona,.White alone,"4,163","3,678",69,69,"2,539",61,2.3,"2,226",53.5,2.3,2008
Arizona,..White non-Hispanic alone,"2,970","2,916",73.7,73.7,"2,150",72.4,2.5,"1,952",65.7,2.6,2008
Arizona,.Black alone,185,182,66.4,66.4,121,65.2,12.7,95,51.5,13.3,2008
Arizona,.Asian alone,105,80,65.1,65.1,52,49.7,18.5,48,45.7,18.5,2008
Arizona,.Hispanic (of any race),"1,227",796,51.5,51.5,410,33.4,6.4,291,23.7,5.7,2008
Arizona,.White alone or in combination,"4,225","3,740",69,69,"2,580",61.1,2.3,"2,264",53.6,2.3,2008
Arizona,.Black alone or in combination ,206,198,66.4,66.4,131,63.6,12.2,106,51.2,12.6,2008
Arizona,.Asian alone or in combination,113,88,64,64,57,50,17.8,52,46.3,17.8,2008
Arkansas,.Total,"2,108","2,030",64.9,64.9,"1,317",62.5,2.5,"1,092",51.8,2.6,2008
Arkansas,.Male,"1,002",952,61.3,61.3,584,58.2,3.7,477,47.6,3.7,2008
Arkansas,.Female,"1,106","1,078",68.1,68.1,734,66.3,3.4,615,55.6,3.5,2008
Arkansas,.White alone,"1,733","1,679",67,67,"1,125",64.9,2.7,931,53.7,2.8,2008
Arkansas,..White non-Hispanic alone,"1,658","1,658",67.4,67.4,"1,117",67.4,2.7,928,55.9,2.9,2008
Arkansas,.Black alone,308,301,53.2,53.2,160,52,8.1,133,43.1,8,2008
Arkansas,.Asian alone,23,6,(B),(B),-,(B),(B),-,(B),(B),2008
Arkansas,.Hispanic (of any race),74,20,(B),(B),8,(B),(B),3,(B),(B),2008
Arkansas,.White alone or in combination,"1,768","1,714",67.2,67.2,"1,152",65.1,2.7,954,53.9,2.8,2008
Arkansas,.Black alone or in combination ,313,306,53.4,53.4,164,52.2,8.1,136,43.5,8,2008
Arkansas,.Asian alone or in combination,23,6,(B),(B),-,(B),(B),-,(B),(B),2008
California,.Total,"26,993","21,816",68.2,68.2,"14,885",55.1,0.9,"13,828",51.2,0.9,2008
California,.Male,"13,259","10,554",65.8,65.8,"6,948",52.4,1.3,"6,429",48.5,1.3,2008
California,.Female,"13,734","11,262",70.5,70.5,"7,937",57.8,1.3,"7,398",53.9,1.3,2008
California,.White alone,"20,823","16,837",69.9,69.9,"11,775",56.5,1,"10,982",52.7,1,2008
California,..White non-Hispanic alone,"12,581","12,048",72.9,72.9,"8,783",69.8,1.2,"8,255",65.6,1.3,2008
California,.Black alone,"1,682","1,646",67.2,67.2,"1,105",65.7,4.2,"1,073",63.8,4.3,2008
California,.Asian alone,"3,473","2,562",59.4,59.4,"1,522",43.8,3.2,"1,343",38.7,3.1,2008
California,.Hispanic (of any race),"8,859","5,193",62.8,62.8,"3,263",36.8,2.4,"2,961",33.4,2.4,2008
California,.White alone or in combination,"21,259","17,191",69.8,69.8,"12,004",56.5,1,"11,197",52.7,1,2008
California,.Black alone or in combination ,"1,860","1,769",67.1,67.1,"1,187",63.8,4.1,"1,151",61.9,4.1,2008
California,.Asian alone or in combination,"3,626","2,688",59.5,59.5,"1,599",44.1,3.1,"1,410",38.9,3.1,2008
Colorado,.Total,"3,694","3,374",72.2,72.2,"2,437",66,2.3,"2,308",62.5,2.4,2008
Colorado,.Male,"1,840","1,665",71.5,71.5,"1,190",64.7,3.4,"1,123",61,3.4,2008
Colorado,.Female,"1,854","1,710",72.9,72.9,"1,247",67.2,3.3,"1,185",63.9,3.4,2008
Colorado,.White alone,"3,344","3,097",73,73,"2,262",67.6,2.4,"2,137",63.9,2.5,2008
Colorado,..White non-Hispanic alone,"2,771","2,731",75,75,"2,049",73.9,2.5,"1,954",70.5,2.6,2008
Colorado,.Black alone,150,138,61.6,61.6,85,56.9,14.8,81,54.4,14.8,2008
Colorado,.Asian alone,131,70,(B),(B),48,36.7,16,48,36.7,16,2008
Colorado,.Hispanic (of any race),590,380,59.1,59.1,225,38.1,9.5,195,33.1,9.2,2008
Colorado,.White alone or in combination,"3,378","3,131",73,73,"2,284",67.6,2.4,"2,160",63.9,2.5,2008
Colorado,.Black alone or in combination ,160,149,60.1,60.1,89,55.8,14.3,86,53.4,14.4,2008
Colorado,.Asian alone or in combination,143,82,67.6,67.6,55,38.8,15.5,55,38.8,15.5,2008
Connecticut,.Total,"2,651","2,396",73.5,73.5,"1,761",66.4,2.5,"1,610",60.8,2.5,2008
Connecticut,.Male,"1,270","1,146",72.5,72.5,830,65.4,3.6,760,59.8,3.7,2008
Connecticut,.Female,"1,381","1,250",74.4,74.4,931,67.4,3.4,851,61.6,3.5,2008
Connecticut,.White alone,"2,233","2,085",76,76,"1,583",70.9,2.6,"1,455",65.2,2.7,2008
Connecticut,..White non-Hispanic alone,"2,013","1,926",77.5,77.5,"1,492",74.1,2.6,"1,379",68.5,2.8,2008
Connecticut,.Black alone,251,224,59.1,59.1,133,52.9,10.3,121,48.4,10.3,2008
Connecticut,.Asian alone,136,61,(B),(B),31,22.7,12.2,21,15.5,10.5,2008
Connecticut,.Hispanic (of any race),253,191,54.3,54.3,104,40.8,13,89,35.2,12.7,2008
Connecticut,.White alone or in combination,"2,247","2,098",75.9,75.9,"1,592",70.9,2.6,"1,464",65.2,2.7,2008
Connecticut,.Black alone or in combination ,257,230,59.3,59.3,137,53.2,10.1,125,48.8,10.2,2008
Connecticut,.Asian alone or in combination,144,66,(B),(B),35,24.4,12.2,24,16.4,10.5,2008
Delaware,.Total,648,606,73.8,73.8,447,69.1,2.5,408,63,2.6,2008
Delaware,.Male,308,283,72,72,204,66.2,3.6,184,59.6,3.8,2008
Delaware,.Female,339,323,75.4,75.4,243,71.7,3.3,224,66.1,3.5,2008
Delaware,.White alone,493,472,75.3,75.3,355,72.1,2.7,324,65.6,2.9,2008
Delaware,..White non-Hispanic alone,460,456,76.3,76.3,348,75.6,2.7,318,69.2,2.9,2008
Delaware,.Black alone,125,120,69.5,69.5,83,66.5,6.9,78,62.2,7.1,2008
Delaware,.Asian alone,22,8,(B),(B),4,(B),(B),3,(B),(B),2008
Delaware,.Hispanic (of any race),38,19,(B),(B),9,(B),(B),7,(B),(B),2008
Delaware,.White alone or in combination,496,475,75.2,75.2,357,72,2.7,325,65.6,2.9,2008
Delaware,.Black alone or in combination ,127,121,69.4,69.4,84,66.5,6.9,79,62.2,7.1,2008
Delaware,.Asian alone or in combination,22,8,(B),(B),4,(B),(B),3,(B),(B),2008
