State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error1,Total voted,"Percent voted
(Total)",Margin of Error1,Year
US,Total,"229,690","210,800",65.1,0.3,"137,263",59.8,0.3,"95,987",41.8,0.3,2010
US,Male,"111,098","101,279",63.5,0.4,"64,337",57.9,0.4,"45,392",40.9,0.4,2010
US,Female,"118,592","109,521",66.6,0.4,"72,926",61.5,0.4,"50,595",42.7,0.4,2010
US,White alone,"185,804","172,447",66.4,0.3,"114,482",61.6,0.3,"80,554",43.4,0.3,2010
US,White non-Hispanic alone,"155,680","152,929",68.2,0.3,"104,316",67,0.3,"74,372",47.8,0.4,2010
US,Black alone,"27,396","25,632",62.8,1,"16,101",58.8,1,"11,149",40.7,1,2010
US,Asian alone,"11,049","7,639",49.3,1.6,"3,765",34.1,2,"2,354",21.3,1.4,2010
US,Hispanic (of any race),"32,457","21,285",51.6,1.2,"10,982",33.8,1.5,"6,646",20.5,1,2010
US,White alone or in combination,"188,616","175,090",66.3,0.3,"116,115",61.6,0.3,"81,614",43.3,0.3,2010
US,Black alone or in combination,"28,414","26,602",62.7,1,"16,684",58.7,1,"11,498",40.5,1,2010
US,Asian alone or in combination,"11,679","8,246",50.2,1.6,"4,136",35.4,2,"2,615",22.4,1.4,2010
Alabama,Total,"3,526","3,420",65,2.4,"2,224",63.1,2.4,"1,509",42.8,2.5,2010
Alabama,Male,"1,652","1,580",62.6,3.6,989,59.8,3.6,664,40.2,3.6,2010
Alabama,Female,"1,873","1,840",67.1,3.2,"1,235",65.9,3.2,845,45.1,3.4,2010
Alabama,White alone,"2,611","2,521",64,2.8,"1,612",61.7,2.8,"1,097",42,2.8,2010
Alabama,White non-Hispanic alone,"2,485","2,471",64.5,2.8,"1,595",64.2,2.8,"1,086",43.7,2.9,2010
Alabama,Black alone,868,868,69,5.6,599,69,5.6,403,46.4,6,2010
Alabama,Asian alone,31,16,(B),(B),4,(B),(B),4,(B),(B),2010
Alabama,Hispanic (of any race),142,65,51.2,16.5,34,23.6,28.6,14,10.2,11.7,2010
Alabama,White alone or in combination,"2,621","2,531",63.8,2.8,"1,616",61.6,2.8,"1,097",41.9,2.8,2010
Alabama,Black alone or in combination,868,868,69,5.6,599,69,5.6,403,46.4,6,2010
Alabama,Asian alone or in combination,38,23,(B),(B),4,(B),(B),4,(B),(B),2010
Alaska,Total,498,478,66.4,2.5,317,63.8,2.6,242,48.6,2.6,2010
Alaska,Male,252,243,66.3,3.6,161,64.1,3.6,127,50.4,3.7,2010
Alaska,Female,246,235,66.6,3.6,156,63.4,3.6,115,46.8,3.8,2010
Alaska,White alone,385,375,70,2.8,262,68.2,2.8,209,54.3,3,2010
Alaska,White non-Hispanic alone,364,357,70.7,2.9,253,69.3,2.8,202,55.3,3.1,2010
Alaska,Black alone,24,24,(B),(B),13,(B),(B),7,(B),(B),2010
Alaska,Asian alone,19,10,(B),(B),4,(B),(B),2,(B),(B),2010
Alaska,Hispanic (of any race),23,20,(B),(B),10,(B),(B),7,(B),(B),2010
Alaska,White alone or in combination,408,398,69.5,2.7,276,67.8,2.7,215,52.8,2.9,2010
Alaska,Black alone or in combination,29,29,(B),(B),17,(B),(B),10,(B),(B),2010
Alaska,Asian alone or in combination,22,12,(B),(B),6,(B),(B),3,(B),(B),2010
Arizona,Total,"4,831","4,443",66,2.1,"2,934",60.7,2.1,"2,170",44.9,2.1,2010
Arizona,Male,"2,391","2,239",63.4,3,"1,419",59.3,3.1,"1,075",45,3.1,2010
Arizona,Female,"2,439","2,204",68.8,2.9,"1,516",62.1,3,"1,095",44.9,3,2010
Arizona,White alone,"4,267","3,905",66.1,2.2,"2,581",60.5,2.3,"1,936",45.4,2.3,2010
