State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
United States,Total,"235,248","215,081",71.2,0.3,"153,157",65.1,0.3,"132,948",56.5,0.3,2012
United States,Male,"113,243","103,022",69.3,0.4,"71,414",63.1,0.4,"61,551",54.4,0.4,2012
United States,Female,"122,005","112,059",72.9,0.4,"81,743",67,0.4,"71,397",58.5,0.4,2012
United States,White alone,"187,084","173,466",71.9,0.3,"124,697",66.7,0.3,"107,846",57.6,0.3,2012
United States,.White non-Hispanic alone,"155,615","152,862",73.7,0.3,"112,706",72.4,0.3,"98,041",63,0.3,2012
United States,Black alone,"28,709","26,915",73.1,0.9,"19,680",68.5,0.9,"17,813",62,1,2012
United States,Asian alone,"12,493","8,254",56.3,1.5,"4,649",37.2,1.9,"3,904",31.3,1.5,2012
United States,Hispanic (of any race),"35,204","23,329",58.7,1.2,"13,697",38.9,1.4,"11,188",31.8,1.1,2012
United States,White alone or in combination,"190,396","176,612",71.8,0.3,"126,822",66.6,0.3,"109,603",57.6,0.3,2012
United States,Black alone or in combination,"30,043","28,153",73,0.9,"20,557",68.4,0.9,"18,558",61.8,1,2012
United States,Asian alone or in combination,"13,335","9,033",57.3,1.5,"5,173",38.8,1.9,"4,331",32.5,1.4,2012
ALABAMA,Total,"3,594","3,479",73.5,2.2,"2,556",71.1,2.2,"2,154",59.9,2.4,2012
ALABAMA,Male,"1,703","1,649",72.9,3.3,"1,201",70.5,3.2,"1,009",59.2,3.5,2012
ALABAMA,Female,"1,891","1,831",74,3.1,"1,354",71.6,3,"1,145",60.6,3.3,2012
ALABAMA,White alone,"2,580","2,502",75.1,2.6,"1,878",72.8,2.6,"1,530",59.3,2.9,2012
ALABAMA,.White non-Hispanic alone,"2,473","2,467",75.6,2.6,"1,866",75.5,2.5,"1,530",61.9,2.9,2012
ALABAMA,Black alone,891,888,68.7,5.6,610,68.5,5.6,560,62.8,5.8,2012
ALABAMA,Asian alone,59,25,(B),(B),17,(B),(B),17,(B),(B),2012
ALABAMA,Hispanic (of any race),107,35,35.1,14.3,12,11.5,37.3,-,(B),(B),2012
ALABAMA,White alone or in combination,"2,605","2,527",75.3,2.6,"1,904",73.1,2.5,"1,556",59.7,2.8,2012
ALABAMA,Black alone or in combination,900,897,69,5.5,619,68.8,5.5,569,63.2,5.7,2012
ALABAMA,Asian alone or in combination,59,25,(B),(B),17,(B),(B),17,(B),(B),2012
ALASKA,Total,516,495,72.8,2.4,361,69.9,2.4,289,56,2.6,2012
ALASKA,Male,261,254,71.3,3.4,181,69.3,3.4,140,53.6,3.7,2012
ALASKA,Female,255,241,74.4,3.4,180,70.5,3.3,149,58.6,3.7,2012
ALASKA,White alone,373,365,77.4,2.6,283,75.7,2.6,232,62.1,3,2012
ALASKA,.White non-Hispanic alone,355,352,77.5,2.6,273,76.8,2.6,225,63.3,3,2012
ALASKA,Black alone,21,20,(B),(B),10,(B),(B),6,(B),(B),2012
ALASKA,Asian alone,30,21,(B),(B),13,(B),(B),10,(B),(B),2012
ALASKA,Hispanic (of any race),23,18,(B),(B),10,(B),(B),7,(B),(B),2012
ALASKA,White alone or in combination,400,392,76.9,2.5,301,75.3,2.5,247,61.7,2.9,2012
ALASKA,Black alone or in combination,23,22,(B),(B),12,(B),(B),7,(B),(B),2012
ALASKA,Asian alone or in combination,35,25,(B),(B),14,(B),(B),11,(B),(B),2012
ARIZONA,Total,"4,863","4,314",65.2,2.1,"2,812",57.8,2.2,"2,412",49.6,2.2,2012
ARIZONA,Male,"2,361","2,110",66.2,3,"1,398",59.2,3.1,"1,193",50.5,3.1,2012
ARIZONA,Female,"2,501","2,204",64.2,3,"1,414",56.5,3.1,"1,219",48.7,3,2012
ARIZONA,White alone,"4,130","3,660",66.8,2.3,"2,445",59.2,2.3,"2,123",51.4,2.3,2012
ARIZONA,.White non-Hispanic alone,"2,854","2,784",70.5,2.6,"1,963",68.8,2.6,"1,737",60.8,2.7,2012
ARIZONA,Black alone,211,207,58.6,12.4,122,57.5,12.4,95,45.1,12.4,2012
ARIZONA,Asian alone,227,160,32,10.5,51,22.5,14,43,19,9.9,2012
ARIZONA,Hispanic (of any race),"1,396",989,52.2,6.1,516,37,7.5,400,28.7,5.7,2012
ARIZONA,White alone or in combination,"4,174","3,703",66.5,2.3,"2,464",59,2.3,"2,133",51.1,2.3,2012
ARIZONA,Black alone or in combination,241,237,59.7,11.5,141,58.7,11.6,106,44.2,11.6,2012
ARIZONA,Asian alone or in combination,242,175,34.8,10.6,61,25.1,13.7,53,21.9,10.1,2012
ARKANSAS,Total,"2,198","2,109",65.3,2.4,"1,376",62.6,2.4,"1,124",51.1,2.5,2012
ARKANSAS,Male,"1,044","1,006",63.4,3.6,637,61,3.6,531,50.9,3.6,2012
ARKANSAS,Female,"1,154","1,103",67,3.3,739,64.1,3.3,593,51.4,3.5,2012
ARKANSAS,White alone,"1,788","1,726",66.5,2.7,"1,148",64.2,2.7,941,52.7,2.8,2012
ARKANSAS,.White non-Hispanic alone,"1,681","1,676",67.9,2.7,"1,138",67.7,2.7,933,55.5,2.9,2012
ARKANSAS,Black alone,313,313,61.3,7.9,192,61.3,7.9,155,49.4,8.1,2012
ARKANSAS,Asian alone,33,21,(B),(B),9,(B),(B),9,(B),(B),2012
ARKANSAS,Hispanic (of any race),143,73,(B),9.8,16,11.3,(B),14,9.5,9.1,2012
ARKANSAS,White alone or in combination,"1,809","1,747",66.8,2.7,"1,166",64.5,2.7,953,52.7,2.8,2012
ARKANSAS,Black alone or in combination,319,319,61.1,7.8,195,61.1,7.8,155,48.5,8,2012
ARKANSAS,Asian alone or in combination,33,21,(B),(B),9,(B),(B),9,(B),(B),2012
CALIFORNIA,Total,"28,357","23,419",65.6,0.9,"15,356",54.2,0.9,"13,462",47.5,0.9,2012
CALIFORNIA,Male,"13,887","11,374",63.7,1.3,"7,245",52.2,1.4,"6,326",45.6,1.3,2012
CALIFORNIA,Female,"14,470","12,044",67.3,1.2,"8,111",56.1,1.3,"7,137",49.3,1.3,2012
CALIFORNIA,White alone,"21,330","17,692",66.6,1,"11,785",55.2,1.1,"10,391",48.7,1,2012
CALIFORNIA,.White non-Hispanic alone,"12,317","11,866",72,1.3,"8,544",69.4,1.2,"7,628",61.9,1.3,2012
CALIFORNIA,Black alone,"1,810","1,740",68.5,4.1,"1,192",65.8,4.1,"1,063",58.7,4.2,2012
CALIFORNIA,Asian alone,"3,915","2,839",57.9,3,"1,645",42,3.5,"1,380",35.2,2.9,2012
CALIFORNIA,Hispanic (of any race),"9,935","6,510",56.6,2.3,"3,684",37.1,2.9,"3,157",31.8,2.2,2012
CALIFORNIA,White alone or in combination,"21,921","18,241",66.7,1,"12,169",55.5,1.1,"10,717",48.9,1,2012
CALIFORNIA,Black alone or in combination,"2,003","1,924",68.3,3.9,"1,314",65.6,3.9,"1,172",58.5,4,2012
CALIFORNIA,Asian alone or in combination,"4,122","3,029",59.1,2.9,"1,790",43.4,3.4,"1,499",36.4,2.9,2012
COLORADO,Total,"3,817","3,544",74.4,2.3,"2,635",69,2.2,"2,495",65.4,2.3,2012
COLORADO,Male,"1,882","1,725",72.5,3.3,"1,251",66.5,3.2,"1,179",62.7,3.4,2012
COLORADO,Female,"1,935","1,818",76.1,3.1,"1,384",71.5,3,"1,316",68,3.2,2012
COLORADO,White alone,"3,474","3,253",76,2.3,"2,471",71.1,2.3,"2,345",67.5,2.4,2012
COLORADO,.White non-Hispanic alone,"2,852","2,800",78.7,2.4,"2,205",77.3,2.3,"2,105",73.8,2.5,2012
COLORADO,Black alone,140,125,60.1,15.4,75,53.6,16,69,49.6,15.4,2012
COLORADO,Asian alone,119,98,40,16.4,39,32.9,18.9,31,26,15.3,2012
COLORADO,Hispanic (of any race),681,497,57.2,9,284,41.7,10.5,259,38,8.8,2012
COLORADO,White alone or in combination,"3,529","3,304",76,2.3,"2,510",71.1,2.2,"2,385",67.6,2.4,2012
COLORADO,Black alone or in combination,159,139,62.3,14.4,87,54.5,15,81,51.1,14.5,2012
COLORADO,Asian alone or in combination,138,117,46.3,15.8,54,39.2,17.5,46,33.2,15.3,2012
CONNECTICUT,Total,"2,726","2,499",70.4,2.5,"1,760",64.6,2.5,"1,568",57.5,2.5,2012
CONNECTICUT,Male,"1,297","1,188",68.3,3.6,811,62.6,3.6,712,54.9,3.7,2012
CONNECTICUT,Female,"1,429","1,311",72.4,3.4,949,66.4,3.3,856,59.9,3.5,2012
CONNECTICUT,White alone,"2,238","2,115",71.8,2.7,"1,520",67.9,2.6,"1,352",60.4,2.8,2012
CONNECTICUT,.White non-Hispanic alone,"2,004","1,931",73.5,2.7,"1,420",70.9,2.7,"1,271",63.4,2.9,2012
CONNECTICUT,Black alone,279,256,64,9.6,164,58.7,9.8,159,57.1,9.6,2012
CONNECTICUT,Asian alone,147,80,46.1,12.1,37,25.1,18.9,23,15.8,10.2,2012
CONNECTICUT,Hispanic (of any race),292,220,57.7,12.3,127,43.5,14.1,103,35.4,11.8,2012
CONNECTICUT,White alone or in combination,"2,280","2,152",72.1,2.6,"1,551",68,2.6,"1,379",60.5,2.8,2012
CONNECTICUT,Black alone or in combination,309,281,66,9.1,185,59.9,9.2,177,57.1,9.2,2012
CONNECTICUT,Asian alone or in combination,156,89,49.2,12.2,44,28.1,18,30,19.3,10.7,2012
DELAWARE,Total,693,641,73.3,2.4,470,67.8,2.4,431,62.2,2.5,2012
DELAWARE,Male,329,302,72.1,3.5,218,66.1,3.5,196,59.6,3.7,2012
DELAWARE,Female,363,339,74.4,3.3,252,69.3,3.2,235,64.6,3.4,2012
DELAWARE,White alone,521,488,74.7,2.7,365,70.1,2.7,336,64.5,2.8,2012
DELAWARE,.White non-Hispanic alone,474,468,75.9,2.7,355,74.9,2.7,328,69,2.9,2012
DELAWARE,Black alone,142,134,67.5,6.6,91,64,6.6,86,60.5,6.7,2012
DELAWARE,Asian alone,26,15,(B),(B),12,(B),(B),8,(B),(B),2012
DELAWARE,Hispanic (of any race),56,24,(B),(B),11,(B),(B),10,(B),(B),2012
DELAWARE,White alone or in combination,524,490,74.7,2.7,366,69.9,2.7,337,64.3,2.8,2012
DELAWARE,Black alone or in combination,144,136,67.5,6.6,92,63.5,6.6,86,59.5,6.7,2012
DELAWARE,Asian alone or in combination,26,15,(B),(B),12,(B),(B),8,(B),(B),2012
DISTRICT OF COLUMBIA,Total,517,461,83.4,2.3,385,74.4,2.1,350,67.7,2.5,2012
DISTRICT OF COLUMBIA,Male,240,212,81.4,3.5,173,71.8,3.2,154,64.2,3.7,2012
DISTRICT OF COLUMBIA,Female,277,249,85,3.1,212,76.6,2.7,196,70.8,3.3,2012
DISTRICT OF COLUMBIA,White alone,246,212,85.1,3.4,180,73.2,3,161,65.3,3.7,2012
DISTRICT OF COLUMBIA,.White non-Hispanic alone,208,197,86.4,3.2,171,82,2.9,151,72.8,3.7,2012
DISTRICT OF COLUMBIA,Black alone,244,231,82.6,3.9,191,78,3.6,177,72.6,4.2,2012
DISTRICT OF COLUMBIA,Asian alone,20,13,(B),(B),10,(B),(B),9,(B),(B),2012
DISTRICT OF COLUMBIA,Hispanic (of any race),48,19,(B),(B),14,(B),(B),13,(B),(B),2012
DISTRICT OF COLUMBIA,White alone or in combination,248,214,84.8,3.4,182,73.1,3,162,65.3,3.6,2012
DISTRICT OF COLUMBIA,Black alone or in combination,248,233,82.7,3.9,193,77.7,3.6,179,72.2,4.2,2012
DISTRICT OF COLUMBIA,Asian alone or in combination,21,15,(B),(B),10,(B),(B),9,(B),(B),2012
FLORIDA,Total,"15,034","13,326",68.3,1.2,"9,102",60.5,1.2,"8,107",53.9,1.2,2012
FLORIDA,Male,"7,179","6,346",66.7,1.7,"4,234",59,1.8,"3,727",51.9,1.7,2012
FLORIDA,Female,"7,855","6,980",69.8,1.6,"4,869",62,1.6,"4,379",55.8,1.7,2012
FLORIDA,White alone,"12,054","10,834",69.4,1.3,"7,515",62.3,1.3,"6,712",55.7,1.3,2012
FLORIDA,.White non-Hispanic alone,"9,024","8,771",68.9,1.5,"6,039",66.9,1.5,"5,430",60.2,1.5,2012
FLORIDA,Black alone,"2,244","1,919",65.8,3.8,"1,262",56.3,3.9,"1,104",49.2,3.8,2012
FLORIDA,Asian alone,496,360,48.4,8,174,35.1,9.9,155,31.2,7.8,2012
FLORIDA,Hispanic (of any race),"3,349","2,250",72.1,4,"1,622",48.4,4.4,"1,399",41.8,4,2012
FLORIDA,White alone or in combination,"12,172","10,941",69.4,1.3,"7,591",62.4,1.3,"6,783",55.7,1.3,2012
FLORIDA,Black alone or in combination,"2,283","1,955",66.2,3.7,"1,295",56.7,3.8,"1,137",49.8,3.8,2012
FLORIDA,Asian alone or in combination,544,392,49.5,7.7,194,35.7,9.5,171,31.5,7.5,2012
GEORGIA,Total,"7,179","6,738",70.7,1.7,"4,767",66.4,1.7,"4,168",58.1,1.7,2012
GEORGIA,Male,"3,424","3,206",67.9,2.4,"2,178",63.6,2.5,"1,899",55.5,2.5,2012
GEORGIA,Female,"3,755","3,532",73.3,2.2,"2,589",68.9,2.2,"2,269",60.4,2.4,2012
GEORGIA,White alone,"4,659","4,388",71.1,2.1,"3,121",67,2,"2,683",57.6,2.2,2012
GEORGIA,.White non-Hispanic alone,"4,227","4,176",72,2.1,"3,006",71.1,2.1,"2,590",61.3,2.2,2012
GEORGIA,Black alone,"2,151","2,063",72.3,3.6,"1,491",69.3,3.6,"1,340",62.3,3.8,2012
GEORGIA,Asian alone,274,198,43.6,10.6,86,31.4,13.3,83,30.2,10.4,2012
GEORGIA,Hispanic (of any race),489,238,59,9.6,140,28.7,14.9,114,23.3,9,2012
GEORGIA,White alone or in combination,"4,697","4,424",71.2,2,"3,148",67,2,"2,706",57.6,2.1,2012
GEORGIA,Black alone or in combination,"2,177","2,087",72.4,3.6,"1,511",69.4,3.5,"1,354",62.2,3.7,2012
GEORGIA,Asian alone or in combination,280,203,42.4,10.4,86,30.8,13.1,83,29.6,10.3,2012
HAWAII,Total,"1,013",930,58.9,2.4,547,54.1,2.5,480,47.4,2.4,2012
HAWAII,Male,493,463,55.3,3.5,256,51.9,3.6,225,45.7,3.5,2012
HAWAII,Female,520,467,62.4,3.4,292,56.1,3.5,255,49.1,3.4,2012
HAWAII,White alone,238,228,74.4,4.6,170,71.3,4.5,153,64.2,4.8,2012
HAWAII,.White non-Hispanic alone,212,210,76,4.6,160,75.4,4.6,143,67.6,5,2012
HAWAII,Black alone,18,18,(B),(B),12,(B),(B),12,(B),(B),2012
HAWAII,Asian alone,459,403,56.3,4.6,227,49.5,4.9,201,43.7,4.6,2012
HAWAII,Hispanic (of any race),81,73,(B),13.4,33,41,(B),25,31.4,12.7,2012
HAWAII,White alone or in combination,362,350,67.5,3.9,236,65.3,3.9,208,57.4,4.1,2012
HAWAII,Black alone or in combination,27,27,(B),(B),18,(B),(B),18,(B),(B),2012
HAWAII,Asian alone or in combination,568,511,56.1,4.1,287,50.5,4.3,250,44.1,4.1,2012
IDAHO,Total,"1,129","1,064",70,2.4,745,65.9,2.3,679,60.2,2.4,2012
IDAHO,Male,553,519,68.3,3.4,354,64.1,3.4,323,58.4,3.5,2012
IDAHO,Female,577,545,71.6,3.3,390,67.7,3.2,357,61.8,3.4,2012
IDAHO,White alone,"1,077","1,021",71.1,2.4,726,67.4,2.4,661,61.4,2.5,2012
IDAHO,.White non-Hispanic alone,960,956,72.3,2.4,691,72,2.4,634,66.1,2.6,2012
IDAHO,Black alone,7,7,(B),(B),-,(B),(B),-,(B),(B),2012
IDAHO,Asian alone,15,6,(B),(B),2,(B),(B),2,(B),(B),2012
IDAHO,Hispanic (of any race),119,68,(B),11,35,29.6,(B),27,22.5,10,2012
IDAHO,White alone or in combination,"1,093","1,037",70.9,2.4,735,67.3,2.4,670,61.3,2.5,2012
IDAHO,Black alone or in combination,9,9,(B),(B),1,(B),(B),1,(B),(B),2012
IDAHO,Asian alone or in combination,19,9,(B),(B),5,(B),(B),5,(B),(B),2012
ILLINOIS,Total,"9,651","8,831",72.7,1.4,"6,425",66.6,1.4,"5,428",56.2,1.5,2012
ILLINOIS,Male,"4,638","4,244",70.9,2.1,"3,010",64.9,2.1,"2,517",54.3,2.2,2012
ILLINOIS,Female,"5,013","4,588",74.4,2,"3,415",68.1,1.9,"2,911",58.1,2.1,2012
ILLINOIS,White alone,"7,673","7,115",72.4,1.6,"5,150",67.1,1.6,"4,275",55.7,1.7,2012
ILLINOIS,.White non-Hispanic alone,"6,553","6,408",74.3,1.7,"4,762",72.7,1.6,"3,986",60.8,1.8,2012
ILLINOIS,Black alone,"1,322","1,278",77.2,4.3,987,74.7,4.3,918,69.5,4.6,2012
ILLINOIS,Asian alone,557,356,64,7.9,228,40.9,9.6,198,35.5,7.7,2012
ILLINOIS,Hispanic (of any race),"1,200",770,53.9,6.5,415,34.6,8.5,295,24.6,5.9,2012
ILLINOIS,White alone or in combination,"7,751","7,176",72.3,1.6,"5,189",66.9,1.6,"4,299",55.5,1.7,2012
ILLINOIS,Black alone or in combination,"1,372","1,312",76.9,4.3,"1,009",73.5,4.2,934,68,4.6,2012
ILLINOIS,Asian alone or in combination,579,378,64.1,7.8,243,41.9,9.3,204,35.3,7.5,2012
INDIANA,Total,"4,852","4,724",69.2,2,"3,270",67.4,2,"2,801",57.7,2.1,2012
INDIANA,Male,"2,326","2,247",68.7,2.9,"1,542",66.3,2.9,"1,331",57.2,3.1,2012
INDIANA,Female,"2,526","2,478",69.7,2.8,"1,727",68.4,2.7,"1,470",58.2,2.9,2012
INDIANA,White alone,"4,349","4,255",68.8,2.1,"2,926",67.3,2.1,"2,509",57.7,2.2,2012
INDIANA,.White non-Hispanic alone,"4,179","4,151",68.9,2.1,"2,861",68.4,2.1,"2,460",58.9,2.3,2012
INDIANA,Black alone,385,385,80.3,7.3,309,80.3,7.3,263,68.4,8.5,2012
INDIANA,Asian alone,75,41,(B),(B),19,(B),(B),14,(B),(B),2012
INDIANA,Hispanic (of any race),184,118,59.7,16.8,71,38.5,21.1,49,26.5,15.3,2012
INDIANA,White alone or in combination,"4,373","4,279",68.7,2.1,"2,938",67.2,2.1,"2,521",57.7,2.2,2012
INDIANA,Black alone or in combination,409,409,77.1,7.5,316,77.1,7.5,270,65.9,8.5,2012
INDIANA,Asian alone or in combination,75,41,(B),(B),19,(B),(B),14,(B),(B),2012
IOWA,Total,"2,320","2,232",78.2,2.3,"1,745",75.2,2.2,"1,548",66.7,2.5,2012
IOWA,Male,"1,135","1,084",77.3,3.3,838,73.9,3.2,733,64.6,3.6,2012
IOWA,Female,"1,186","1,148",79,3.1,906,76.4,3,816,68.8,3.4,2012
IOWA,White alone,"2,173","2,123",78.8,2.3,"1,673",77,2.2,"1,482",68.2,2.5,2012
IOWA,.White non-Hispanic alone,"2,067","2,057",79.9,2.2,"1,644",79.5,2.2,"1,455",70.4,2.5,2012
IOWA,Black alone,54,51,(B),(B),35,(B),(B),33,(B),(B),2012
IOWA,Asian alone,61,35,(B),(B),21,(B),(B),17,(B),(B),2012
IOWA,Hispanic (of any race),120,71,(B),16,32,26.8,(B),30,25.1,15.6,2012
IOWA,White alone or in combination,"2,197","2,138",78.8,2.3,"1,685",76.7,2.2,"1,494",68,2.5,2012
IOWA,Black alone or in combination,67,59,(B),(B),41,(B),(B),39,(B),(B),2012
IOWA,Asian alone or in combination,67,35,(B),(B),21,(B),(B),17,(B),(B),2012
KANSAS,Total,"2,120","1,973",74.4,2.4,"1,467",69.2,2.4,"1,249",58.9,2.6,2012
KANSAS,Male,"1,029",953,70.4,3.6,671,65.2,3.6,567,55.1,3.8,2012
KANSAS,Female,"1,091","1,020",78,3.3,796,73,3.1,682,62.5,3.5,2012
KANSAS,White alone,"1,851","1,759",76.3,2.5,"1,342",72.5,2.5,"1,148",62,2.7,2012
KANSAS,.White non-Hispanic alone,"1,675","1,664",77.8,2.5,"1,294",77.2,2.5,"1,115",66.6,2.8,2012
