STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
US,Total,239874,142166,59.3,0.3,92251,38.5,0.3,2014
US,18 to 24,29658,11610,39.1,0.8,4721,15.9,0.6,2014
US,25 to 34,42321,20914,49.4,0.7,10223,24.2,0.6,2014
US,35 to 44,39565,22273,56.3,0.7,12986,32.8,0.7,2014
US,45 to 64,82772,54107,65.4,0.5,38111,46,0.5,2014
US,65+,45558,33261,73,0.6,26210,57.5,0.7,2014
ALABAMA,Total,3656,2366,64.7,2.4,1497,40.9,2.4,2014
ALABAMA,18 to 24,482,181,37.4,6.6,77,16.1,5,2014
ALABAMA,25 to 34,555,330,59.4,6.2,155,27.9,5.7,2014
ALABAMA,35 to 44,610,373,61.1,5.9,244,40,5.9,2014
ALABAMA,45 to 64,1298,951,73.3,3.7,630,48.5,4.1,2014
ALABAMA,65+,710,532,74.9,4.9,390,54.9,5.6,2014
ALASKA,Total,521,336,64.6,2.5,255,49,2.6,2014
ALASKA,18 to 24,76,34,(B),(B),19,(B),(B),2014
ALASKA,25 to 34,111,70,62.7,5.5,46,41.3,5.6,2014
ALASKA,35 to 44,78,47,(B),(B),34,(B),(B),2014
ALASKA,45 to 64,189,136,71.8,3.9,113,59.8,4.2,2014
ALASKA,65+,66,49,(B),(B),43,(B),(B),2014
ARIZONA,Total,4994,2738,54.8,2.1,1785,35.7,2.1,2014
ARIZONA,18 to 24,514,181,35.1,6.4,74,14.4,4.7,2014
ARIZONA,25 to 34,859,411,47.9,5.2,170,19.8,4.1,2014
ARIZONA,35 to 44,948,458,48.3,4.9,245,25.8,4.3,2014
ARIZONA,45 to 64,1725,1012,58.7,3.6,710,41.1,3.6,2014
ARIZONA,65+,947,676,71.4,4.4,587,61.9,4.8,2014
ARKANSAS,Total,2189,1292,59,2.5,798,36.5,2.5,2014
ARKANSAS,18 to 24,242,116,48.2,7.7,36,14.7,5.5,2014
ARKANSAS,25 to 34,388,194,49.9,6.1,76,19.6,4.8,2014
ARKANSAS,35 to 44,352,202,57.4,6.3,127,36.2,6.2,2014
ARKANSAS,45 to 64,797,484,60.7,4.1,341,42.8,4.2,2014
ARKANSAS,65+,410,296,72.2,5.3,218,53.1,5.9,2014
CALIFORNIA,Total,29030,14113,48.6,0.9,8949,30.8,0.8,2014
CALIFORNIA,18 to 24,4129,1438,34.8,2.2,591,14.3,1.6,2014
CALIFORNIA,25 to 34,5288,2082,39.4,2,917,17.3,1.6,2014
CALIFORNIA,35 to 44,5025,2117,42.1,2.1,1172,23.3,1.8,2014
CALIFORNIA,45 to 64,9672,5377,55.6,1.5,3712,38.4,1.5,2014
CALIFORNIA,65+,4916,3099,63,2.1,2558,52,2.2,2014
COLORADO,Total,4009,2654,66.2,2.3,2211,55.2,2.4,2014
COLORADO,18 to 24,374,131,35,7.5,64,17.1,5.9,2014
COLORADO,25 to 34,853,506,59.3,5.1,368,43.1,5.2,2014
COLORADO,35 to 44,743,477,64.3,5.3,386,51.9,5.6,2014
COLORADO,45 to 64,1317,939,71.3,3.8,833,63.3,4,2014
COLORADO,65+,722,601,83.2,4.2,561,77.6,4.7,2014
CONNECTICUT,Total,2783,1668,59.9,2.4,1195,43,2.5,2014
CONNECTICUT,18 to 24,319,112,35.2,7,56,17.7,5.6,2014
CONNECTICUT,25 to 34,434,202,46.5,6.3,118,27.2,5.6,2014
CONNECTICUT,35 to 44,451,246,54.5,6.2,150,33.2,5.8,2014
CONNECTICUT,45 to 64,1047,719,68.6,3.8,556,53.1,4.1,2014
CONNECTICUT,65+,531,389,73.2,5.1,315,59.4,5.6,2014
DELAWARE,Total,712,442,62,2.4,299,42,2.5,2014
DELAWARE,18 to 24,78,36,(B),(B),12,(B),(B),2014
DELAWARE,25 to 34,120,58,48.4,6.1,31,25.9,5.4,2014
DELAWARE,35 to 44,111,62,55.8,6.3,36,32.1,6,2014
DELAWARE,45 to 64,246,171,69.6,3.9,123,50.1,4.3,2014
DELAWARE,65+,157,115,73.2,4.8,97,62,5.2,2014
DISTRICT OF COLUMBIA,Total,538,353,65.6,2.4,247,45.8,2.6,2014
DISTRICT OF COLUMBIA,18 to 24,69,35,(B),(B),17,(B),(B),2014
DISTRICT OF COLUMBIA,25 to 34,168,101,60,4.5,62,36.8,4.4,2014
DISTRICT OF COLUMBIA,35 to 44,82,51,(B),(B),35,(B),(B),2014
DISTRICT OF COLUMBIA,45 to 64,139,101,72.3,4.5,81,58,5,2014
DISTRICT OF COLUMBIA,65+,80,66,81.6,5.2,52,64.9,6.3,2014
FLORIDA,Total,15414,8691,56.4,1.2,6220,40.4,1.2,2014
FLORIDA,18 to 24,1406,486,34.5,3.8,229,16.3,2.9,2014
FLORIDA,25 to 34,2372,1113,46.9,3,613,25.8,2.7,2014
FLORIDA,35 to 44,2634,1335,50.7,2.9,812,30.8,2.7,2014
FLORIDA,45 to 64,5221,3142,60.2,2,2395,45.9,2,2014
FLORIDA,65+,3781,2615,69.2,2.2,2171,57.4,2.4,2014
GEORGIA,Total,7306,4306,58.9,1.7,2919,40,1.7,2014
GEORGIA,18 to 24,975,376,38.6,4.7,201,20.6,3.9,2014
GEORGIA,25 to 34,1204,622,51.7,4.4,334,27.7,3.9,2014
GEORGIA,35 to 44,1353,801,59.2,4,541,40,4,2014
GEORGIA,45 to 64,2624,1625,61.9,2.9,1160,44.2,2.9,2014
GEORGIA,65+,1151,882,76.6,3.8,684,59.4,4.4,2014
HAWAII,Total,1035,490,47.4,2.5,399,38.6,2.4,2014
HAWAII,18 to 24,133,31,23.4,5.9,11,8.2,3.8,2014
HAWAII,25 to 34,143,55,38.6,6.6,39,27,6,2014
HAWAII,35 to 44,181,72,39.8,5.9,56,31,5.5,2014
HAWAII,45 to 64,353,195,55.4,4.3,170,48,4.3,2014
HAWAII,65+,225,136,60.6,5.3,124,55.1,5.3,2014
IDAHO,Total,1182,671,56.8,2.6,462,39.1,2.5,2014
IDAHO,18 to 24,181,53,29.4,6,21,11.8,4.3,2014
IDAHO,25 to 34,181,94,52,6.6,52,28.9,6,2014
IDAHO,35 to 44,194,96,49.5,6.4,51,26,5.6,2014
IDAHO,45 to 64,419,271,64.6,4.1,207,49.3,4.3,2014
IDAHO,65+,206,157,75.9,5.3,131,63.5,6,2014
ILLINOIS,Total,9757,5716,58.6,1.5,3734,38.3,1.5,2014
ILLINOIS,18 to 24,1385,519,37.5,3.9,191,13.8,2.8,2014
ILLINOIS,25 to 34,1713,831,48.5,3.7,406,23.7,3.1,2014
ILLINOIS,35 to 44,1534,794,51.8,3.9,456,29.7,3.5,2014
ILLINOIS,45 to 64,3402,2347,69,2.4,1727,50.8,2.6,2014
ILLINOIS,65+,1722,1225,71.1,3.3,955,55.4,3.6,2014
INDIANA,Total,4913,3048,62,2.1,1646,33.5,2,2014
