State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error 1,Total registered,"Percent registered
(Total)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,Year
UNITED STATES,Total,"245,502","224,059",70.3,0.3,"157,596",64.2,0.3,"137,537",56,0.3,2016
UNITED STATES,Male,"118,488","107,554",68.6,0.4,"73,761",62.3,0.4,"63,801",53.8,0.4,2016
UNITED STATES,Female,"127,013","116,505",72,0.4,"83,835",66,0.4,"73,735",58.1,0.4,2016
UNITED STATES,White alone,"192,129","177,865",71.7,0.3,"127,463",66.3,0.3,"111,891",58.2,0.3,2016
UNITED STATES,White non-Hispanic alone,"157,395","154,450",73.9,0.3,"114,151",72.5,0.3,"100,849",64.1,0.4,2016
UNITED STATES,Black alone,"30,608","28,808",69.4,1,"19,984",65.3,1,"17,119",55.9,1.1,2016
UNITED STATES,Asian alone,"14,881","10,283",56.3,1.6,"5,785",38.9,1.9,"5,043",33.9,1.5,2016
UNITED STATES,Hispanic (of any race),"38,990","26,662",57.3,1.2,"15,267",39.2,1.5,"12,682",32.5,1.1,2016
UNITED STATES,White alone or in combination,"195,716","181,268",71.5,0.3,"129,664",66.3,0.3,"113,707",58.1,0.3,2016
UNITED STATES,Black alone or in combination,"32,211","30,326",69,1,"20,935",65,1,"17,875",55.5,1,2016
UNITED STATES,Asian alone or in combination,"15,750","11,118",57.3,1.5,"6,369",40.4,1.8,"5,542",35.2,1.5,2016
ALABAMA,Total,"3,717","3,651",69.2,2.5,"2,526",68,2.5,"2,095",56.4,2.7,2016
ALABAMA,Male,"1,761","1,718",67.2,3.7,"1,155",65.6,3.7,944,53.6,3.9,2016
ALABAMA,Female,"1,955","1,933",70.9,3.4,"1,371",70.1,3.4,"1,151",58.9,3.6,2016
ALABAMA,White alone,"2,633","2,604",68,3,"1,772",67.3,3,"1,465",55.6,3.2,2016
ALABAMA,White non-Hispanic alone,"2,532","2,526",69,3,"1,742",68.8,3,"1,441",56.9,3.2,2016
ALABAMA,Black alone,962,953,72.8,5.7,694,72.2,5.7,579,60.2,6.2,2016
ALABAMA,Asian alone,27,10,B,B,3,B,B,3,B,B,2016
ALABAMA,Hispanic (of any race),117,83,B,B,32,B,B,27,B,B,2016
ALABAMA,White alone or in combination,"2,673","2,644",68.1,3,"1,801",67.4,3,"1,489",55.7,3.1,2016
ALABAMA,Black alone or in combination,985,976,72.1,5.7,704,71.5,5.7,587,59.6,6.2,2016
ALABAMA,Asian alone or in combination,36,19,B,B,6,B,B,6,B,B,2016
ALASKA,Total,518,502,71.3,2.6,358,69.1,2.6,308,59.4,2.8,2016
ALASKA,Male,267,258,70.1,3.7,181,67.9,3.7,152,57,4,2016
ALASKA,Female,251,243,72.6,3.8,177,70.3,3.7,156,62,4,2016
ALASKA,White alone,346,340,76.8,3,261,75.5,3,234,67.7,3.3,2016
ALASKA,White non-Hispanic alone,334,329,76.7,3.1,252,75.5,3,226,67.7,3.3,2016
ALASKA,Black alone,17,17,B,B,10,B,B,8,B,B,2016
ALASKA,Asian alone,27,19,B,B,9,B,B,8,B,B,2016
ALASKA,Hispanic (of any race),24,23,B,B,17,B,B,17,B,B,2016
ALASKA,White alone or in combination,369,363,77,2.9,279,75.8,2.9,250,67.9,3.2,2016
ALASKA,Black alone or in combination,26,26,B,B,14,B,B,12,B,B,2016
ALASKA,Asian alone or in combination,32,24,B,B,13,B,B,12,B,B,2016
ARIZONA,Total,"5,196","4,585",68.6,2.2,"3,145",60.5,2.3,"2,769",53.3,2.3,2016
ARIZONA,Male,"2,525","2,256",65.8,3.2,"1,485",58.8,3.3,"1,273",50.4,3.3,2016
ARIZONA,Female,"2,671","2,329",71.3,3.1,"1,660",62.2,3.1,"1,496",56,3.2,2016
ARIZONA,White alone,"4,471","3,950",70.2,2.4,"2,773",62,2.4,"2,480",55.5,2.5,2016
ARIZONA,White non-Hispanic alone,"2,940","2,875",74.6,2.7,"2,145",73,2.7,"1,963",66.8,2.9,2016
ARIZONA,Black alone,252,237,69.8,12,165,65.6,12,121,47.9,12.6,2016
ARIZONA,Asian alone,169,108,63.3,15.8,69,40.6,19.4,56,33.1,15.2,2016
ARIZONA,Hispanic (of any race),"1,613","1,145",57.1,6.4,654,40.5,7.6,543,33.7,6.1,2016
ARIZONA,White alone or in combination,"4,571","4,048",69.5,2.4,"2,815",61.6,2.4,"2,518",55.1,2.4,2016
ARIZONA,Black alone or in combination,296,281,65,11.3,183,61.7,11.4,138,46.6,11.6,2016
ARIZONA,Asian alone or in combination,180,117,66.1,15.4,78,43,18.3,56,31,14.4,2016
ARKANSAS,Total,"2,216","2,116",68.8,2.7,"1,456",65.7,2.6,"1,241",56,2.8,2016
ARKANSAS,Male,"1,055","1,001",67.8,3.9,679,64.4,3.9,574,54.4,4,2016
ARKANSAS,Female,"1,161","1,115",69.7,3.6,777,66.9,3.6,667,57.4,3.8,2016
ARKANSAS,White alone,"1,822","1,749",68.4,2.9,"1,196",65.6,2.9,"1,032",56.7,3.1,2016
ARKANSAS,White non-Hispanic alone,"1,689","1,674",69.7,3,"1,166",69.1,3,"1,008",59.7,3.1,2016
ARKANSAS,Black alone,321,316,73,8,231,71.9,7.9,186,57.9,8.8,2016
ARKANSAS,Asian alone,36,16,B,B,6,B,B,6,B,B,2016
ARKANSAS,Hispanic (of any race),135,77,B,B,29,B,B,24,B,B,2016
ARKANSAS,White alone or in combination,"1,848","1,775",68.3,2.9,"1,213",65.6,2.9,"1,043",56.5,3,2016
ARKANSAS,Black alone or in combination,325,320,73.3,7.9,235,72.2,7.9,190,58.4,8.7,2016
ARKANSAS,Asian alone or in combination,36,16,B,B,6,B,B,6,B,B,2016
CALIFORNIA,Total,"29,894","24,890",64.7,1,"16,096",53.8,1,"14,416",48.2,1,2016
