State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of error 1,Total registered,"Percent registered
(Total)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,Year
UNITED STATES,Total,"249,748","228,832",66.9,0.3,"153,066",61.3,0.3,"122,281",49,0.3,2018
UNITED STATES,Male,"120,573","110,006",65.2,0.4,"71,726",59.5,0.4,"56,964",47.2,0.4,2018
UNITED STATES,Female,"129,176","118,826",68.5,0.4,"81,340",63,0.4,"65,317",50.6,0.4,2018
UNITED STATES,White alone,"194,127","180,522",68.5,0.3,"123,727",63.7,0.3,"99,255",51.1,0.3,2018
UNITED STATES,White non-Hispanic alone,"157,610","154,982",71,0.4,"110,054",69.8,0.4,"89,075",56.5,0.4,2018
UNITED STATES,Black alone,"31,623","29,758",63.9,1,"19,023",60.2,1,"15,194",48,1,2018
UNITED STATES,Asian alone,"15,659","11,128",53,1.5,"5,898",37.7,1.8,"4,519",28.9,1.4,2018
UNITED STATES,Hispanic (of any race),"41,049","28,955",53.7,1.2,"15,558",37.9,1.4,"11,695",28.5,1.1,2018
UNITED STATES,White alone or in combination,"198,477","184,394",68.4,0.3,"126,194",63.6,0.3,"101,115",50.9,0.3,2018
UNITED STATES,Black alone or in combination,"33,595","31,422",63.7,1,"20,015",59.6,1,"15,887",47.3,1,2018
UNITED STATES,Asian alone or in combination,"16,733","12,170",54.2,1.5,"6,595",39.4,1.8,"5,080",30.4,1.4,2018
ALABAMA,Total,"3,753","3,609",69,2.5,"2,490",66.4,2.5,"1,830",48.8,2.7,2018
ALABAMA,Male,"1,772","1,681",66.7,3.7,"1,122",63.3,3.8,821,46.3,3.9,2018
ALABAMA,Female,"1,982","1,927",71,3.4,"1,368",69,3.4,"1,010",50.9,3.7,2018
ALABAMA,White alone,"2,610","2,534",70,3,"1,774",68,3,"1,309",50.1,3.2,2018
ALABAMA,White non-Hispanic alone,"2,494","2,470",71.3,3,"1,760",70.6,3,"1,298",52.1,3.3,2018
ALABAMA,Black alone,976,975,67.4,5.9,657,67.2,5.9,483,49.4,6.3,2018
ALABAMA,Asian alone,61,37,B,B,13,B,B,7,B,B,2018
ALABAMA,Hispanic (of any race),169,77,34.3,14.3,26,15.6,27.8,22,13.2,13.4,2018
ALABAMA,White alone or in combination,"2,636","2,561",70.1,3,"1,796",68.1,3,"1,322",50.2,3.2,2018
ALABAMA,Black alone or in combination,979,977,67.4,5.9,659,67.3,5.9,485,49.6,6.3,2018
ALABAMA,Asian alone or in combination,61,37,B,B,13,B,B,7,B,B,2018
ALASKA,Total,523,497,67.7,2.7,337,64.4,2.7,263,50.2,2.9,2018
ALASKA,Male,265,255,68.4,3.8,175,65.9,3.8,133,50.2,4,2018
ALASKA,Female,258,242,67.1,3.9,162,62.9,3.9,130,50.2,4.1,2018
ALASKA,White alone,330,324,73,3.2,236,71.6,3.2,193,58.6,3.5,2018
ALASKA,White non-Hispanic alone,314,310,73.9,3.3,229,73,3.3,187,59.5,3.6,2018
ALASKA,Black alone,16,15,B,B,9,B,B,8,B,B,2018
ALASKA,Asian alone,55,37,B,B,23,B,B,15,B,B,2018
ALASKA,Hispanic (of any race),20,18,B,B,10,B,B,8,B,B,2018
ALASKA,White alone or in combination,356,350,72.9,3.1,255,71.6,3.1,210,59,3.4,2018
ALASKA,Black alone or in combination,18,17,B,B,11,B,B,9,B,B,2018
ALASKA,Asian alone or in combination,60,42,B,B,25,B,B,18,B,B,2018
ARIZONA,Total,"5,361","4,757",68.6,2.2,"3,262",60.8,2.2,"2,800",52.2,2.3,2018
ARIZONA,Male,"2,606","2,259",68.1,3.2,"1,539",59,3.2,"1,288",49.4,3.2,2018
ARIZONA,Female,"2,755","2,497",69,3.1,"1,723",62.5,3.1,"1,512",54.9,3.1,2018
ARIZONA,White alone,"4,635","4,168",71.2,2.3,"2,968",64,2.3,"2,535",54.7,2.4,2018
ARIZONA,White non-Hispanic alone,"3,128","3,065",74.1,2.6,"2,272",72.6,2.6,"2,000",63.9,2.8,2018
ARIZONA,Black alone,257,222,51.5,12.4,114,44.4,13.5,104,40.6,12.3,2018
ARIZONA,Asian alone,198,106,59.8,13.9,63,32,20,59,30,13.6,2018
ARIZONA,Hispanic (of any race),"1,624","1,205",62.8,6.4,757,46.6,7.2,588,36.2,6.2,2018
ARIZONA,White alone or in combination,"4,688","4,216",71.1,2.3,"2,996",63.9,2.3,"2,563",54.7,2.4,2018
ARIZONA,Black alone or in combination,280,239,55,12,132,47,12.9,122,43.5,11.9,2018
ARIZONA,Asian alone or in combination,209,117,60.8,13.7,71,34,18.9,67,32.1,13.5,2018
ARKANSAS,Total,"2,261","2,158",58.5,2.7,"1,262",55.8,2.8,919,40.6,2.7,2018
ARKANSAS,Male,"1,093","1,034",58.3,4,602,55.1,4,431,39.4,3.9,2018
ARKANSAS,Female,"1,169","1,125",58.7,3.8,660,56.5,3.9,488,41.8,3.8,2018
ARKANSAS,White alone,"1,833","1,765",58.4,3,"1,031",56.2,3.1,756,41.3,3,2018
ARKANSAS,White non-Hispanic alone,"1,678","1,676",59.3,3.2,995,59.3,3.2,737,43.9,3.2,2018
ARKANSAS,Black alone,327,317,56.1,8.8,178,54.5,8.9,132,40.3,8.6,2018
ARKANSAS,Asian alone,37,19,B,B,9,B,B,6,B,B,2018
ARKANSAS,Hispanic (of any race),172,102,42.3,13.7,43,25.2,20.2,21,12.3,10.4,2018
ARKANSAS,White alone or in combination,"1,878","1,805",58.7,3,"1,061",56.5,3,771,41.1,3,2018
ARKANSAS,Black alone or in combination,336,325,56.6,8.6,184,54.7,8.8,135,40.2,8.5,2018
ARKANSAS,Asian alone or in combination,53,31,B,B,18,B,B,7,B,B,2018
CALIFORNIA,Total,"30,243","25,525",61.5,1,"15,690",51.9,1,"13,240",43.8,0.9,2018
CALIFORNIA,Male,"14,767","12,449",59.2,1.4,"7,372",49.9,1.5,"6,205",42,1.3,2018
CALIFORNIA,Female,"15,476","13,076",63.6,1.3,"8,318",53.8,1.4,"7,035",45.5,1.3,2018
CALIFORNIA,White alone,"21,467","18,311",64,1.1,"11,711",54.6,1.2,"10,005",46.6,1.1,2018
CALIFORNIA,White non-Hispanic alone,"11,986","11,587",69.1,1.4,"8,005",66.8,1.4,"7,116",59.4,1.5,2018
CALIFORNIA,Black alone,"1,912","1,845",57.5,4.6,"1,061",55.5,4.6,933,48.8,4.6,2018
CALIFORNIA,Asian alone,"5,222","3,983",51.7,2.8,"2,061",39.5,3.3,"1,620",31,2.7,2018
