STATE,STATE,Total,Percent citizen,Confidence interval,Total,Percent registered (18+),Confidence interval,Total,Percent voted (18+),Confidence interval
UNITED STATES,.Total,"186,366",92.0,0.2,"129,549",63.9,0.3,"110,826",54.7,0.3
UNITED STATES,.18 to 24,"23,915",89.5,0.6,"12,122",45.4,0.9,"8,635",32.3,0.9
UNITED STATES,.25 to 44,"72,668",88.9,0.3,"48,769",59.6,0.5,"40,738",49.8,0.5
UNITED STATES,.45 to 64,"57,968",94.5,0.3,"43,710",71.2,0.5,"39,301",64.1,0.6
UNITED STATES,.65 to 74,"17,233",96.7,0.4,"13,573",76.2,0.9,"12,450",69.9,1.0
UNITED STATES,.75+,"14,582",97.6,0.4,"11,375",76.1,1.0,"9,702",64.9,1.2
ALABAMA,.Total,"3,233",98.6,0.6,"2,411",73.6,2.3,"1,953",59.6,2.6
ALABAMA,.18 to 24,418,97.1,2.4,226,52.5,7.2,168,39.0,7.0
ALABAMA,.25 to 44,"1,258",98.2,1.1,939,73.3,3.7,759,59.3,4.1
ALABAMA,.45 to 64,"1,056",99.3,0.8,834,78.4,3.8,701,65.9,4.4
ALABAMA,.65 to 74,282,100.0,0.0,221,78.1,7.4,183,64.9,8.5
ALABAMA,.75+,219,98.9,2.1,192,86.6,6.9,142,64.4,9.6
ALASKA,.Total,399,96.8,1.0,299,72.5,2.6,270,65.5,2.7
ALASKA,.18 to 24,55,(B),(B),31,(B),(B),25,(B),(B)
ALASKA,.25 to 44,176,96.3,1.6,136,74.5,3.8,124,67.8,4.0
ALASKA,.45 to 64,141,97.8,1.4,110,76.4,4.1,101,69.7,4.5
ALASKA,.65 to 74,17,(B),(B),14,(B),(B),13,(B),(B)
ALASKA,.75+,9,(B),(B),8,(B),(B),7,(B),(B)
ARIZONA,.Total,"3,129",88.8,1.6,"1,879",53.3,2.5,"1,644",46.7,2.5
ARIZONA,.18 to 24,484,83.2,4.5,167,28.7,5.5,124,21.3,5.0
ARIZONA,.25 to 44,"1,124",84.8,2.9,603,45.5,4.0,497,37.5,3.9
ARIZONA,.45 to 64,"1,008",93.0,2.3,716,66.1,4.2,653,60.2,4.4
ARIZONA,.65 to 74,299,95.6,3.4,232,74.4,7.2,222,71.2,7.5
ARIZONA,.75+,214,97.9,2.8,161,73.4,8.8,148,67.7,9.3
ARKANSAS,.Total,"1,851",97.8,0.8,"1,125",59.4,2.6,936,49.4,2.6
ARKANSAS,.18 to 24,242,97.1,2.4,123,49.5,7.2,88,35.4,6.9
ARKANSAS,.25 to 44,612,95.7,1.8,345,54.0,4.5,273,42.7,4.5
ARKANSAS,.45 to 64,608,98.8,1.0,406,65.9,4.4,357,58.0,4.5
ARKANSAS,.65 to 74,203,100.0,0.0,134,66.0,7.6,119,58.8,7.9
ARKANSAS,.75+,187,100.0,0.0,117,62.8,8.1,98,52.8,8.3
CALIFORNIA,.Total,"19,837",80.2,0.9,"13,061",52.8,1.1,"11,489",46.4,1.1
CALIFORNIA,.18 to 24,"2,728",76.4,2.4,"1,265",35.4,2.7,"1,015",28.4,2.5
CALIFORNIA,.25 to 44,"7,877",74.3,1.4,"4,964",46.8,1.6,"4,169",39.3,1.6
CALIFORNIA,.45 to 64,"6,212",85.6,1.4,"4,517",62.2,1.9,"4,160",57.3,2.0
CALIFORNIA,.65 to 74,"1,707",91.2,2.2,"1,288",68.8,3.6,"1,221",65.2,3.7
CALIFORNIA,.75+,"1,313",91.1,2.5,"1,026",71.2,4.0,924,64.1,4.3
COLORADO,.Total,"2,854",93.6,1.3,"1,954",64.1,2.5,"1,633",53.6,2.6
COLORADO,.18 to 24,399,92.5,3.6,203,47.0,6.9,121,28.1,6.2
COLORADO,.25 to 44,"1,277",90.4,2.2,809,57.3,3.8,674,47.7,3.8
COLORADO,.45 to 64,847,97.3,1.6,670,76.9,4.1,600,68.8,4.5
COLORADO,.65 to 74,167,100.0,0.0,145,86.5,7.6,126,75.2,9.6
COLORADO,.75+,164,98.6,2.7,128,76.7,9.4,112,67.6,10.4
CONNECTICUT,.Total,"2,239",92.7,1.6,"1,510",62.5,2.9,"1,332",55.2,3.0
CONNECTICUT,.18 to 24,220,92.3,5.1,112,47.0,9.6,94,39.5,9.4
CONNECTICUT,.25 to 44,787,86.9,3.3,466,51.5,5.0,416,45.9,4.9
CONNECTICUT,.45 to 64,813,96.8,1.8,595,70.8,4.7,531,63.2,5.0
CONNECTICUT,.65 to 74,216,96.7,3.6,168,75.4,8.6,157,70.4,9.1
CONNECTICUT,.75+,202,97.5,3.2,168,81.3,8.1,134,64.6,9.9
DELAWARE,.Total,543,95.9,1.2,385,67.9,2.7,352,62.2,2.9
DELAWARE,.18 to 24,59,(B),(B),26,(B),(B),23,(B),(B)
DELAWARE,.25 to 44,220,93.4,2.3,146,62.1,4.4,132,56.0,4.5
DELAWARE,.45 to 64,164,97.9,1.6,131,78.3,4.5,122,73.1,4.8
DELAWARE,.65 to 74,58,(B),(B),49,(B),(B),46,(B),(B)
DELAWARE,.75+,42,(B),(B),32,(B),(B),29,(B),(B)
DISTRICT OF COLUMBIA,.Total,373,91.5,1.7,295,72.4,2.7,267,65.6,2.8
DISTRICT OF COLUMBIA,.18 to 24,53,(B),(B),30,(B),(B),25,(B),(B)
DISTRICT OF COLUMBIA,.25 to 44,155,90.3,2.7,120,69.7,4.2,111,64.4,4.4
DISTRICT OF COLUMBIA,.45 to 64,108,92.6,2.9,93,80.0,4.5,86,73.9,4.9
DISTRICT OF COLUMBIA,.65 to 74,28,(B),(B),26,(B),(B),23,(B),(B)
DISTRICT OF COLUMBIA,.75+,29,(B),(B),26,(B),(B),23,(B),(B)
FLORIDA,.Total,"10,081",86.7,0.9,"7,043",60.5,1.3,"6,006",51.6,1.4
FLORIDA,.18 to 24,"1,176",83.4,2.9,583,41.4,3.9,416,29.5,3.6
FLORIDA,.25 to 44,"3,462",80.7,1.8,"2,321",54.1,2.2,"1,901",44.3,2.2
FLORIDA,.45 to 64,"3,111",89.6,1.5,"2,262",65.1,2.4,"2,005",57.7,2.5
FLORIDA,.65 to 74,"1,178",93.6,2.0,927,73.6,3.6,844,67.1,3.9
FLORIDA,.75+,"1,153",96.1,1.6,952,79.3,3.4,839,70.0,3.9
GEORGIA,.Total,"5,553",96.1,0.9,"3,528",61.1,2.3,"2,827",49.0,2.3
GEORGIA,.18 to 24,755,96.1,2.4,397,50.6,6.3,248,31.6,5.9
GEORGIA,.25 to 44,"2,493",93.8,1.6,"1,527",57.5,3.4,"1,221",46.0,3.4
GEORGIA,.45 to 64,"1,620",98.5,1.0,"1,121",68.2,4.1,932,56.7,4.3
GEORGIA,.65 to 74,412,99.0,1.7,282,67.7,8.1,257,61.8,8.4
GEORGIA,.75+,272,100.0,0.0,200,73.6,9.4,167,61.5,10.4
HAWAII,.Total,771,90.1,1.8,402,47.0,3.0,340,39.7,3.0
HAWAII,.18 to 24,93,84.9,6.1,28,25.3,7.4,18,16.7,6.3
HAWAII,.25 to 44,297,91.1,2.8,145,44.4,4.9,119,36.4,4.7
HAWAII,.45 to 64,244,90.7,3.1,143,53.3,5.4,129,47.8,5.4
HAWAII,.65 to 74,79,(B),(B),47,(B),(B),44,(B),(B)
HAWAII,.75+,58,(B),(B),39,(B),(B),30,(B),(B)
IDAHO,.Total,892,96.1,1.0,569,61.4,2.4,500,53.9,2.5
IDAHO,.18 to 24,148,96.2,2.4,65,42.2,6.1,53,34.4,5.9
IDAHO,.25 to 44,331,94.1,1.9,202,57.4,4.0,168,47.8,4.1
IDAHO,.45 to 64,279,97.7,1.3,198,69.4,4.2,180,63.2,4.4
IDAHO,.65 to 74,73,(B),(B),61,(B),(B),57,(B),(B)
IDAHO,.75+,62,(B),(B),44,(B),(B),41,(B),(B)
ILLINOIS,.Total,"8,118",91.6,0.9,"5,911",66.7,1.5,"5,030",56.8,1.6
ILLINOIS,.18 to 24,"1,059",88.4,2.8,584,48.8,4.3,427,35.6,4.1
ILLINOIS,.25 to 44,"3,252",88.8,1.5,"2,315",63.2,2.4,"1,966",53.7,2.4
ILLINOIS,.45 to 64,"2,450",93.6,1.4,"1,887",72.1,2.6,"1,692",64.7,2.8
ILLINOIS,.65 to 74,680,97.4,1.8,575,82.3,4.3,519,74.3,4.9
ILLINOIS,.75+,677,99.0,1.1,551,80.5,4.5,426,62.3,5.5
INDIANA,.Total,"4,303",98.3,0.7,"3,000",68.5,2.5,"2,564",58.5,2.6
INDIANA,.18 to 24,489,96.9,2.7,233,46.1,7.8,159,31.6,7.2
INDIANA,.25 to 44,"1,689",97.9,1.2,"1,080",62.6,4.1,879,50.9,4.2
INDIANA,.45 to 64,"1,388",98.8,1.0,"1,068",76.0,4.0,969,68.9,4.3
INDIANA,.65 to 74,444,99.1,1.5,375,83.7,6.1,340,75.9,7.1
INDIANA,.75+,293,98.9,2.1,244,82.4,7.7,217,73.2,9.0
IOWA,.Total,"2,008",95.2,1.2,"1,524",72.2,2.5,"1,353",64.1,2.6
IOWA,.18 to 24,243,91.7,4.3,145,54.9,7.7,114,43.1,7.6
IOWA,.25 to 44,774,92.5,2.3,577,69.0,4.0,500,59.7,4.3
IOWA,.45 to 64,593,97.5,1.6,475,78.1,4.2,431,70.8,4.6
IOWA,.65 to 74,195,100.0,0.0,171,87.9,5.9,164,84.4,6.5
IOWA,.75+,204,99.0,1.7,155,75.5,7.5,145,70.4,8.0
KANSAS,.Total,"1,861",97.5,0.9,"1,293",67.7,2.6,"1,148",60.2,2.7
KANSAS,.18 to 24,277,96.7,2.5,134,46.6,7.1,99,34.6,6.8
KANSAS,.25 to 44,630,95.0,2.0,391,58.9,4.6,332,50.1,4.7
KANSAS,.45 to 64,593,99.3,0.8,464,77.6,4.1,429,71.8,4.4
KANSAS,.65 to 74,204,100.0,0.0,164,80.6,6.7,155,76.2,7.2
KANSAS,.75+,157,100.0,0.0,140,89.2,5.9,132,84.2,7.0
KENTUCKY,.Total,"2,918",97.4,0.8,"2,087",69.7,2.4,"1,645",54.9,2.6
KENTUCKY,.18 to 24,317,93.7,3.8,164,48.5,7.8,108,32.0,7.3
