STATE,Age,Total  ,Total  ,Percent registered (18+),CI_reg_total,Total  ,Percent voted (18+),CI_vot_total
UNITED STATES,Total,"192,656","128,154",60.9,0.3,"88,903",42.3,0.3
UNITED STATES,.18 to 24,"24,335","10,470",38.2,0.8,"4,697",17.2,0.6
UNITED STATES,.25 to 44,"72,094","45,553",55.4,0.5,"28,019",34.1,0.5
UNITED STATES,.45 to 64,"63,272","46,430",69.4,0.5,"35,521",53.1,0.5
UNITED STATES,.65 to 74,"17,415","13,681",76.1,0.9,"11,339",63.1,1
UNITED STATES,.75+,"15,540","12,020",75.5,1,"9,328",58.6,1.1
ALABAMA,.Total,"3,215","2,347",72.2,2.2,"1,585",48.7,2.4
ALABAMA,.18 to 24,385,205,51.8,6.9,102,25.7,6
ALABAMA,.25 to 44,"1,192",846,70,3.6,559,46.2,3.9
ALABAMA,.45 to 64,"1,108",849,76.2,3.5,626,56.1,4.1
ALABAMA,.65 to 74,290,248,85,5.7,174,59.7,7.9
ALABAMA,.75+,241,199,82.6,6.7,124,51.6,8.8
ALASKA,.Total,418,303,69.4,2.2,230,52.6,2.3
ALASKA,.18 to 24,51,24,(B),(B),14,(B),(B)
ALASKA,.25 to 44,171,119,66.2,3.4,79,44,3.6
ALASKA,.45 to 64,157,133,81.7,3,112,69.2,3.5
ALASKA,.65 to 74,24,16,(B),(B),15,(B),(B)
ALASKA,.75+,13,10,(B),(B),8,(B),(B)
ARIZONA,.Total,"3,293","1,930",50.8,2.5,"1,397",36.8,2.4
ARIZONA,.18 to 24,439,129,23.6,5.5,48,8.9,3.7
ARIZONA,.25 to 44,"1,314",693,43.3,3.8,445,27.8,3.4
ARIZONA,.45 to 64,987,674,62.3,4.5,530,49.1,4.6
ARIZONA,.65 to 74,269,208,72.4,8,186,64.7,8.5
ARIZONA,.75+,283,227,78.7,7.3,188,65.1,8.5
ARKANSAS,.Total,"1,919","1,222",62.4,2.5,888,45.3,2.5
ARKANSAS,.18 to 24,206,71,31.8,7.1,29,13,5.1
ARKANSAS,.25 to 44,667,391,56.8,4.3,260,37.8,4.2
ARKANSAS,.45 to 64,645,443,68.5,4.1,358,55.3,4.4
ARKANSAS,.65 to 74,206,164,79.4,6.4,135,65.4,7.5
ARKANSAS,.75+,196,154,78.6,6.6,106,54.2,8
CALIFORNIA,.Total,"19,642","12,025",49.3,1.1,"8,355",34.2,1
CALIFORNIA,.18 to 24,"2,801","1,099",30.8,2.7,526,14.8,2
CALIFORNIA,.25 to 44,"7,601","4,431",43.1,1.7,"2,751",26.8,1.5
CALIFORNIA,.45 to 64,"6,358","4,296",57.9,2,"3,222",43.4,2
CALIFORNIA,.65 to 74,"1,413","1,047",67.5,4.1,892,57.5,4.3
CALIFORNIA,.75+,"1,469","1,152",72,3.9,964,60.2,4.2
COLORADO,.Total,"2,959","1,976",60.9,2,"1,483",45.7,2
COLORADO,.18 to 24,348,174,42.7,5.7,84,20.6,4.6
COLORADO,.25 to 44,"1,248",781,55.3,3.1,537,38,3
COLORADO,.45 to 64,952,700,69.3,3.4,590,58.5,3.6
COLORADO,.65 to 74,208,156,73.4,7,133,62.3,7.7
COLORADO,.75+,204,166,80.7,6.4,140,68.2,7.5
