State,State,Total citizen,Total  ,Percent registered (18+),moe_reg_total,Total  ,Percent voted (18+),moe_vot_total
UNITED STATES,.Total,"197,005","142,070",65.9,0.3,"125,736",58.3,0.3
UNITED STATES,.18 to 24,"24,899","14,334",51.5,0.8,"11,639",41.9,0.8
UNITED STATES,.25 to 44,"71,231","49,371",60.1,0.5,"42,845",52.2,0.5
UNITED STATES,.45 to 64,"67,184","51,659",72.7,0.5,"47,327",66.6,0.5
UNITED STATES,.65 to 74,"17,759","14,125",76.9,0.9,"13,010",70.8,0.9
UNITED STATES,.75+,"15,933","12,581",76.8,0.9,"10,915",66.7,1
ALABAMA,.Total,"3,257","2,418",72.6,2.1,"2,060",61.8,2.3
ALABAMA,.18 to 24,387,211,51.1,6.7,173,42,6.6
ALABAMA,.25 to 44,"1,185",832,68.1,3.6,685,56,3.9
ALABAMA,.45 to 64,"1,121",888,78.5,3.3,797,70.5,3.7
ALABAMA,.65 to 74,311,284,91.3,4.4,247,79.2,6.3
ALABAMA,.75+,254,203,79.9,6.9,158,62.2,8.3
ALASKA,.Total,435,333,,,293,,
ALASKA,.18 to 24,58,37,(B),(B),31,(B),(B)
ALASKA,.25 to 44,167,125,70.5,3.3,107,60.2,3.6
ALASKA,.45 to 64,163,135,81.4,3,122,73.8,3.3
ALASKA,.65 to 74,30,23,(B),(B),22,(B),(B)
ALASKA,.75+,17,13,(B),(B),11,(B),(B)
ARIZONA,.Total,"3,508","2,485",60.3,2.3,"2,239",54.3,2.3
ARIZONA,.18 to 24,436,249,47.8,6.6,184,35.2,6.3
ARIZONA,.25 to 44,"1,256",819,50.7,3.8,708,43.8,3.7
ARIZONA,.45 to 64,"1,189",960,71.7,3.7,914,68.3,3.9
ARIZONA,.65 to 74,344,248,68.2,7.4,239,65.8,7.5
ARIZONA,.75+,283,209,74,7.9,194,68.7,8.4
ARKANSAS,.Total,"1,942","1,328",66.1,2.4,"1,140",56.7,2.5
ARKANSAS,.18 to 24,236,117,45.5,7,85,32.9,6.6
ARKANSAS,.25 to 44,689,442,60.9,4.1,366,50.4,4.2
ARKANSAS,.45 to 64,680,504,73.3,3.8,442,64.3,4.1
ARKANSAS,.65 to 74,178,134,75.2,7.3,126,70.9,7.7
ARKANSAS,.75+,159,131,82,6.9,121,75.7,7.7
CALIFORNIA,.Total,"20,693","14,193",54.4,1.1,"12,807",49.1,1.1
CALIFORNIA,.18 to 24,"2,659","1,447",43,2.9,"1,194",35.5,2.8
CALIFORNIA,.25 to 44,"7,596","4,912",45.5,1.7,"4,327",40.1,1.6
CALIFORNIA,.45 to 64,"7,047","5,224",63.4,1.8,"4,818",58.5,1.9
CALIFORNIA,.65 to 74,"1,829","1,400",69.8,3.5,"1,343",66.9,3.6
CALIFORNIA,.75+,"1,561","1,209",71.5,3.8,"1,125",66.5,4
COLORADO,.Total,"3,109","2,307",67.9,1.9,"2,097",61.7,1.9
COLORADO,.18 to 24,429,266,55.6,5.2,212,44.2,5.2
COLORADO,.25 to 44,"1,198",837,60.5,3,758,54.8,3.1
COLORADO,.45 to 64,"1,085",872,77.1,2.9,825,73,3.1
COLORADO,.65 to 74,229,187,80,6,177,75.7,6.5
COLORADO,.75+,169,144,84.4,6.4,125,73.2,7.8
CONNECTICUT,.Total,"2,409","1,695",65,2,"1,524",58.5,2
CONNECTICUT,.18 to 24,278,135,44.6,6,114,37.9,5.8
CONNECTICUT,.25 to 44,819,525,55.6,3.4,460,48.7,3.4
CONNECTICUT,.45 to 64,855,673,75.4,3,623,69.8,3.2
CONNECTICUT,.65 to 74,189,149,75.9,6.4,138,70.4,6.8
CONNECTICUT,.75+,269,214,78.5,5.2,189,69.4,5.8
DELAWARE,.Total,579,415,67.7,2.3,385,62.8,2.3
DELAWARE,.18 to 24,67,37,(B),(B),29,(B),(B)
DELAWARE,.25 to 44,207,139,60.6,3.9,130,56.5,3.9
DELAWARE,.45 to 64,192,148,75.7,3.7,139,71.3,3.9
DELAWARE,.65 to 74,61,48,(B),(B),46,(B),(B)
DELAWARE,.75+,52,44,(B),(B),41,(B),(B)
DISTRICT OF COLUMBIA,.Total,390,293,67.4,2.4,270,62,2.5
DISTRICT OF COLUMBIA,.18 to 24,48,29,(B),(B),26,(B),(B)
DISTRICT OF COLUMBIA,.25 to 44,161,125,65,3.6,118,61.5,3.7
DISTRICT OF COLUMBIA,.45 to 64,123,97,73.8,4,91,69.1,4.3
DISTRICT OF COLUMBIA,.65 to 74,28,21,(B),(B),18,(B),(B)
DISTRICT OF COLUMBIA,.75+,31,22,(B),(B),17,(B),(B)
FLORIDA,.Total,"11,469","8,219",62.6,1.3,"7,372",56.1,1.3
FLORIDA,.18 to 24,"1,257",712,47.4,3.9,581,38.7,3.8
FLORIDA,.25 to 44,"3,658","2,488",55,2.2,"2,173",48.1,2.2
FLORIDA,.45 to 64,"3,970","2,916",66.7,2.1,"2,693",61.6,2.2
FLORIDA,.65 to 74,"1,258",988,73.5,3.6,922,68.6,3.8
FLORIDA,.75+,"1,326","1,115",80.2,3.2,"1,003",72.2,3.6
GEORGIA,.Total,"5,866","3,948",62.3,2.2,"3,332",52.6,2.3
